file,species,date,capitula,clusters,flowers,inflorescences,other,plants,unknown1,unknown2,double.count,filelow,sp1,sp2,sp3,latbi,new.genus,new.epithet
RM7-1973,Orobanche  fasciculata,6/22/73,,,,,,,,,,rm7-1973,Orobanche,fasciculata,,Orobanche fasciculata ,,
RM8-1973,Erigeron?,7/10/73,,,,,,,,,,rm8-1973,Erigeron?,,,Erigeron?  ,,
SB2-1973,Listera  borealis,6/20/73,,,,,,,,,,sb2-1973,Listera,borealis,,Listera borealis ,,
SB2-1973,Listera  cordata,6/20/73,,,,,,,,,,sb2-1973,Listera,cordata,,Listera cordata ,,
SB2-1973,Mitella  pentandra,6/20/73,,,,,,,,,,sb2-1973,Mitella,pentandra,,Mitella pentandra ,,
SB2-1973,Trollius  laxus,6/20/73,,,9,,,,,,,sb2-1973,Trollius,laxus,,Trollius laxus ,,
SB3-1973,Pyrola  asarifolia,6/20/73,,,,,,,,,,sb3-1973,Pyrola,asarifolia,,Pyrola asarifolia ,,
SB3-1973,Streptopus  amplexifolius,6/20/73,,,,,,,,,,sb3-1973,Streptopus,amplexifolius,,Streptopus amplexifolius ,,
SB5-1973,Parnassia  fimbriata,7/10/73,,,,,,,,,,sb5-1973,Parnassia,fimbriata,,Parnassia fimbriata ,,
SB6-1973,Epilobium  hornemanii,7/10/73,,,,,,,,,,sb6-1973,Epilobium,hornemanii,,Epilobium hornemanii ,,
SB6-1973,Osmorhiza  obtusa,7/10/73,,,,1,,,,,,sb6-1973,Osmorhiza,obtusa,,Osmorhiza obtusa ,,
SB7-1973,Hedysarum  occidentale,7/23/73,,,15,,,3,,,,sb7-1973,Hedysarum,occidentale,,Hedysarum occidentale ,,
SB7-1973,Prunella  vulgaris,7/23/73,,,,,,,,,,sb7-1973,Prunella,vulgaris,,Prunella vulgaris ,,
SB7-1973,Trifolium  longipes,7/23/73,,1,,,,,,,,sb7-1973,Trifolium,longipes,,Trifolium longipes ,,
WMS1-1973,Gentiana  elegans,6/11/73,,,,,,,,,,wms1-1973,Gentiana,elegans,,Gentiana elegans ,Gentianopsis,thermalis
INT1-1974,Gentiana calycosa,5/26/74,,,,,,,,,,int1-1974,Gentiana,calycosa,,Gentiana calycosa ,Pneumonanthe,parryi
INT3-1974,Gentiana heterosepala,5/26/74,,,,,,,,,,int3-1974,Gentiana,heterosepala,,Gentiana heterosepala ,Pneumonanthe,parryi
RM8-1974,grass,5/25/74,,,,,,,,,,rm8-1974,grass,,,grass  ,,
VR1-1974,Crucifer,5/26/74,,,,,,,,,,vr1-1974,Crucifer,,,Crucifer  ,,
VR2-1974,Erigeron ?,5/26/74,,,,,,,,,,vr2-1974,Erigeron,?,,Erigeron ? ,,
WM2-1974,Orthocarpus luteus,5/26/74,,,,,,,,,,wm2-1974,Orthocarpus,luteus,,Orthocarpus luteus ,,
WM2-1974,small white crucifer,5/26/74,,,,,,,,,,wm2-1974,small,white,crucifer,small white crucifer,,
WM2-1974,tiny yellow,5/26/74,,,,,,,,,,wm2-1974,tiny,yellow,,tiny yellow ,,
WM4-1974,tiny yellow crucifer,5/26/74,,,,,,,,,,wm4-1974,tiny,yellow,crucifer,tiny yellow crucifer,,
WM11975,Agoseris,6/3/75,,,,,,,,,,wm11975,Agoseris,,,Agoseris  ,,
INT41977,Grass,6/5/77,,,,,,,,,,int41977,Grass,,,Grass  ,,
VR11977,Minuartia??,6/5/77,,,,,,,,,,vr11977,Minuartia??,,,Minuartia??  ,,
WM21977,Eriogonum?,6/5/77,,,,,,,,,,wm21977,Eriogonum?,,,Eriogonum?  ,,
wm1-1980,grass  Melica-like,6/3/80,,,,,,,,,,wm1-1980,grass,Melica-like,,grass Melica-like ,,
rm2-1981,grass  feathery,5/13/81,,,,,,,,,,rm2-1981,grass,feathery,,grass feathery ,Trisetum,spicatum
w-m3-81,Gentianella  barbellata,5/14/81,,,,,,,,,,w-m3-81,Gentianella,barbellata,,Gentianella barbellata ,Gentianopsis,barbellata
w-m4-81,grass #3,5/14/81,,,,,,,,,,w-m4-81,grass,#3,,grass #3 ,,
w-m4-81,grass #4,5/14/81,,,,,,,,,,w-m4-81,grass,#4,,grass #4 ,,
rm1-1982,feathery grass,6/1/82,,,,,,,,,,rm1-1982,feathery,grass,,feathery grass ,Trisetum,spicatum
rm9-1982,tall grass,6/1/82,,,,,,,,,,rm9-1982,tall,grass,,tall grass ,,
vr1-1982,"small, low, 5 white petals",6/2/82,,,,,,,,,,vr1-1982,"small, low, 5 white petals","small, low, 5 white petals","small, low, 5 white petals","small, low, 5 white petals small, low, 5 white petals small, low, 5 white petals",,
wm1-1982,grass  short spike,6/2/82,,,,,,,,,,wm1-1982,grass,short,spike,grass short spike,,
wm2-1982,grass  short spikes,6/2/82,,,,,,,,,,wm2-1982,grass,short,spikes,grass short spikes,,
w-m5-82,grass  feather,6/2/82,,,,,,,,,,w-m5-82,grass,feather,,grass feather ,Trisetum,spicatum
w-m5-82,grass  spike,6/2/82,,,,,,,,,,w-m5-82,grass,spike,,grass spike ,,
rm6-1983,Grass(dark colored spike),6/7/83,,,,,,,,,,rm6-1983,Grass(dark,colored,spike),Grass(dark colored spike),,
rm6-1983,Grass(light colored spike),6/7/83,,,,,,,,,,rm6-1983,Grass(light,colored,spike),Grass(light colored spike),,
wm1-1983,Grass  (wheat),6/8/83,,,,,,,,,,wm1-1983,Grass,(wheat),,Grass (wheat) ,,
wm2-1983,"spike, yellow anthers  (grass)",6/8/83,,,,,,,,,,wm2-1983,"spike, yellow anthers  (grass)","spike, yellow anthers  (grass)","spike, yellow anthers  (grass)","spike, yellow anthers  (grass) spike, yellow anthers  (grass) spike, yellow anthers  (grass)",,
rm4-1984,annual,5/27/84,,,,,,,,,,rm4-1984,annual,,,annual  ,,
rm8-1984,Erigeron  sp.,5/27/84,,,,,,,,,,rm8-1984,Erigeron,sp.,,Erigeron sp. ,,
wm3-1984,grass #1,5/28/84,,,,,,,,,,wm3-1984,grass,#1,,grass #1 ,,
wm3-1984,grass #2,5/28/84,,,,,,,,,,wm3-1984,grass,#2,,grass #2 ,,
w-m5-85,Draba,5/30/85,,,,,,,,,,w-m5-85,Draba,,,Draba  ,,
em2-1986,grass (wheat),5/31/86,,,,,,,,,,em2-1986,grass,(wheat),,grass (wheat) ,Elymus,trachycaulis
rm6-1986,grass  reddish,5/31/86,,,,,,,,,,rm6-1986,grass,reddish,,grass reddish ,,
wm2-1986,grass  compact head (Phleum?),5/31/86,,,,,,,,,,wm2-1986,grass  compact head (Phleum?),grass  compact head (Phleum?),grass  compact head (Phleum?),grass  compact head (Phleum?) grass  compact head (Phleum?) grass  compact head (Phleum?),,
wm2-1986,grass  long awns,5/31/86,,,,,,,,,,wm2-1986,grass,long,awns,grass long awns,,
wm4-1986,grass  wheat,5/31/86,,,,,,,,,,wm4-1986,grass,wheat,,grass wheat ,Elymus,trachycaulis
int51987,"unknown, yellow flower, tiny plant",5/9/87,,,,,,,,,,int51987,"unknown, yellow flower, tiny plant","unknown, yellow flower, tiny plant","unknown, yellow flower, tiny plant","unknown, yellow flower, tiny plant unknown, yellow flower, tiny plant unknown, yellow flower, tiny plant",,
rm21987,grass - spike,5/5/87,,,,,,,,,,rm21987,grass,-,spike,grass - spike,,
rm91987,grass - spikes,5/5/87,,,,,,,,,,rm91987,grass,-,spikes,grass - spikes,,
vr21987,Plantago,5/9/87,,,,,,,,,,vr21987,Plantago,,,Plantago  ,,
rm61988,grass  Poa-like,5/2/88,,,,,,,,,,rm61988,grass,Poa-like,,grass Poa-like ,,
rm61988,grass with long sheath  almost as long as inflorescence,5/2/88,,,,,,,,,,rm61988,grass with long sheath  almost as long as inflorescence,grass with long sheath  almost as long as inflorescence,grass with long sheath  almost as long as inflorescence,grass with long sheath  almost as long as inflorescence grass with long sheath  almost as long as inflorescence grass with long sheath  almost as long as inflorescence,,
wm21989,Mis-identified,5/13/89,,,,,,,,,,wm21989,Mis-identified,,,Mis-identified  ,,
em11991,grass - wheat grass,5/30/91,,,,,,,,,,em11991,grass - wheat grass,grass - wheat grass,grass - wheat grass,grass - wheat grass grass - wheat grass grass - wheat grass,Elymus,trachycaulis
em21991,grass - nodding brome,5/30/91,,,,,,,,,,em21991,grass - nodding brome,grass - nodding brome,grass - nodding brome,grass - nodding brome grass - nodding brome grass - nodding brome,,
gp11991,nodding brome,5/30/91,,,,,,,,,,gp11991,nodding,brome,,nodding brome ,,
int51991,grass - dense head,5/30/91,,,,,,,,,,int51991,grass - dense head,grass - dense head,grass - dense head,grass - dense head grass - dense head grass - dense head,,
rm21991,grass - long awns,5/29/91,,,,,,,,,,rm21991,grass - long awns,grass - long awns,grass - long awns,grass - long awns grass - long awns grass - long awns,,
rm21991,"grass - Poa-like, NW corner",5/29/91,,,,,,,,,,rm21991,"grass - Poa-like, NW corner","grass - Poa-like, NW corner","grass - Poa-like, NW corner","grass - Poa-like, NW corner grass - Poa-like, NW corner grass - Poa-like, NW corner",Trisetum,spicatum
rm31991,grass - long awns.1,5/29/91,,,,,,,,,,rm31991,grass - long awns.1,grass - long awns.1,grass - long awns.1,grass - long awns.1 grass - long awns.1 grass - long awns.1,,
rm41991,grass - Poa?  SE corner,5/29/91,,,,,,,,,,rm41991,grass - Poa?  SE corner,grass - Poa?  SE corner,grass - Poa?  SE corner,grass - Poa?  SE corner grass - Poa?  SE corner grass - Poa?  SE corner,,
rm41991,"grass - purple, stiff, mostly in NE corner",5/29/91,,,,,,,,,,rm41991,"grass - purple, stiff, mostly in NE corner","grass - purple, stiff, mostly in NE corner","grass - purple, stiff, mostly in NE corner","grass - purple, stiff, mostly in NE corner grass - purple, stiff, mostly in NE corner grass - purple, stiff, mostly in NE corner",Elymus,longifolius
rm61991,"grass - purple, stiff",5/29/91,,,,,,,,,,rm61991,"grass - purple, stiff","grass - purple, stiff","grass - purple, stiff","grass - purple, stiff grass - purple, stiff grass - purple, stiff",Elymus,longifolius
rm81991,grass -  wheat grass,5/29/91,,,,,,,,,,rm81991,grass -  wheat grass,grass -  wheat grass,grass -  wheat grass,grass -  wheat grass grass -  wheat grass grass -  wheat grass,Elymus,trachycaulis
rm81991,umbel  just outside S corner,5/29/91,,,,,,,,,,rm81991,umbel  just outside S corner,umbel  just outside S corner,umbel  just outside S corner,umbel  just outside S corner umbel  just outside S corner umbel  just outside S corner,,
rm91991,"grass - Poa?, tall, inflorescence spread out",5/29/91,,,,,,,,,,rm91991,"grass - Poa?, tall, inflorescence spread out","grass - Poa?, tall, inflorescence spread out","grass - Poa?, tall, inflorescence spread out","grass - Poa?, tall, inflorescence spread out grass - Poa?, tall, inflorescence spread out grass - Poa?, tall, inflorescence spread out",,
wm21991,"grass, long awns",5/30/91,,,,,,,,,,wm21991,"grass,",long,awns,"grass, long awns",,
wm21991,"grass - tight head, short anthers",5/30/91,,,,,,,,,,wm21991,"grass - tight head, short anthers","grass - tight head, short anthers","grass - tight head, short anthers","grass - tight head, short anthers grass - tight head, short anthers grass - tight head, short anthers",,
rm21992,grass -  compact elongated heads,5/14/92,,,,,,,,,,rm21992,grass -  compact elongated heads,grass -  compact elongated heads,grass -  compact elongated heads,grass -  compact elongated heads grass -  compact elongated heads grass -  compact elongated heads,,
rm61992,"grass - tight, elongated head",5/14/92,,,,,,,,,,rm61992,"grass - tight, elongated head","grass - tight, elongated head","grass - tight, elongated head","grass - tight, elongated head grass - tight, elongated head grass - tight, elongated head",,
rm91992,grass - wheat grass? tall,5/14/92,,,,,,,,,,rm91992,grass - wheat grass? tall,grass - wheat grass? tall,grass - wheat grass? tall,grass - wheat grass? tall grass - wheat grass? tall grass - wheat grass? tall,,
int31993,Salix sp.,6/3/93,,,,,male,,,,,int31993,Salix,sp.,,Salix sp. 
int51993,"grass - long awns, tight head",6/3/93,,,,,,,,,,int51993,"grass - long awns, tight head","grass - long awns, tight head","grass - long awns, tight head","grass - long awns, tight head grass - long awns, tight head grass - long awns, tight head"
rm21993,grass - Poa species #2?  NW corner,6/2/93,,,,,,,,,,rm21993,grass - Poa species #2?  NW corner,grass - Poa species #2?  NW corner,grass - Poa species #2?  NW corner,grass - Poa species #2?  NW corner grass - Poa species #2?  NW corner grass - Poa species #2?  NW corner
rm41993,"grass - slightly spreading, yellow anthers, tall, NW corner",6/2/93,,,,,,,,,,rm41993,"grass - slightly spreading, yellow anthers, tall, NW corner","grass - slightly spreading, yellow anthers, tall, NW corner","grass - slightly spreading, yellow anthers, tall, NW corner","grass - slightly spreading, yellow anthers, tall, NW corner grass - slightly spreading, yellow anthers, tall, NW corner grass - slightly spreading, yellow anthers, tall, NW corner"
rm61993,"grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides",6/2/93,,,,,,,,,,rm61993,"grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides","grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides","grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides","grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides"
rm81993,purple aster,6/2/93,,,,,,,,,,rm81993,purple,aster,,purple aster 
rm91993,"grass - long awns, all green, tall",6/2/93,,,,,,,,,,rm91993,"grass - long awns, all green, tall","grass - long awns, all green, tall","grass - long awns, all green, tall","grass - long awns, all green, tall grass - long awns, all green, tall grass - long awns, all green, tall"
wm21993,"grass - long awns, tall",6/3/93,,,,,,,,,,wm21993,"grass - long awns, tall","grass - long awns, tall","grass - long awns, tall","grass - long awns, tall grass - long awns, tall grass - long awns, tall"
wm21993,"grass, long awns, tight spike",6/3/93,,,,,,,,,,wm21993,"grass, long awns, tight spike","grass, long awns, tight spike","grass, long awns, tight spike","grass, long awns, tight spike grass, long awns, tight spike grass, long awns, tight spike"
gp21994,"grass - tall bunch grass, E side",6/4/94,,,,,,,,,,gp21994,"grass - tall bunch grass, E side","grass - tall bunch grass, E side","grass - tall bunch grass, E side","grass - tall bunch grass, E side grass - tall bunch grass, E side grass - tall bunch grass, E side"
