givenname,needs.change,lookup.genus,lookup.epithet
annual,yes,unknforb,
umbel  just outside S corner,yes,unknforb,
Koelaria macrantha ,no,,
unknown #1,yes,unknforb,
Carex ,yes,Carex,sp.
Koeleria micrantha,yes,Koelaria,macrantha
Agoseris,yes,unknforb,
Trollius  laxus,no,,
Listera  cordata,no,,
Pyrola  asarifolia,no,,
Streptopus  amplexifolius,no,,
Parnassia  fimbriata,no,,
Allium geyeri,no,,
Crucifer,yes,unknforb,
Erigeron  sp.,yes,unknforb,
Minuartia??,yes,unknforb,
Erigeron ?,yes,unknforb,
Epilobium  annual species,yes,unknforb,
purple aster,yes,unknforb,
Orthocarpus  luteus,no,,
"giant Poa?  Fat flowers, inflorescence very spread out, NW corner",yes,Poa,sp.
Chenopodium spp,yes,Chenopodium,sp.
Silene scouleri,no,,
Mis-identified,yes,unknforb,
Osmorhiza  obtusa,no,,
Epilobium  hornemanii,no,,
Hedysarum  occidentale,no,,
Prunella  vulgaris,no,,
"small, low, 5 white petals",yes,unknforb,
Plantago,yes,unknforb,
