"givenname","sp1","sp2","sp3","latbi"
"Androsace  septentrionalis","Androsace","septentrionalis","","Androsace septentrionalis "
"Arabis  drummondii","Arabis","drummondii","","Arabis drummondii "
"Arenaria  conjesta","Arenaria","conjesta","","Arenaria conjesta "
"Chrysopsis  villosa","Chrysopsis","villosa","","Chrysopsis villosa "
"Claytonia  lanceolata","Claytonia","lanceolata","","Claytonia lanceolata "
"Collomia  linearis","Collomia","linearis","","Collomia linearis "
"Delphinium  nelsonii","Delphinium","nelsonii","","Delphinium nelsonii "
"Erigeron  speciosus","Erigeron","speciosus","","Erigeron speciosus "
"Eriogonum  umbellatum","Eriogonum","umbellatum","","Eriogonum umbellatum "
"Hydrophyllum  capitatum","Hydrophyllum","capitatum","","Hydrophyllum capitatum "
"Ipomopsis  aggregata","Ipomopsis","aggregata","","Ipomopsis aggregata "
"Lathyrus  leucanthus","Lathyrus","leucanthus","","Lathyrus leucanthus "
"Lomatium  dissectum","Lomatium","dissectum","","Lomatium dissectum "
"Mertensia  fusiformes","Mertensia","fusiformes","","Mertensia fusiformes "
"Polygonum  douglasii","Polygonum","douglasii","","Polygonum douglasii "
"Potentilla  hippiana","Potentilla","hippiana","","Potentilla hippiana "
"Taraxacum  officinale","Taraxacum","officinale","","Taraxacum officinale "
"Viola  nuttallii","Viola","nuttallii","","Viola nuttallii "
"Artemisia  tridentata","Artemisia","tridentata","","Artemisia tridentata "
"Calochortus  gunnisonii","Calochortus","gunnisonii","","Calochortus gunnisonii "
"Eriogonum  subalpinum","Eriogonum","subalpinum","","Eriogonum subalpinum "
"Mahonia  repens","Mahonia","repens","","Mahonia repens "
"Vicia  americana","Vicia","americana","","Vicia americana "
"Amelanchier  pumila","Amelanchier","pumila","","Amelanchier pumila "
"Potentilla  gracilis","Potentilla","gracilis","","Potentilla gracilis "
"Rosa  woodsii","Rosa","woodsii","","Rosa woodsii "
"Achillea  millefolium","Achillea","millefolium","","Achillea millefolium "
"Erythronium  grandiflorum","Erythronium","grandiflorum","","Erythronium grandiflorum "
"Helianthella  quinquenervis","Helianthella","quinquenervis","","Helianthella quinquenervis "
"Saxifraga  cernua","Saxifraga","cernua","","Saxifraga cernua "
"Senecio","Senecio","","","Senecio  "
"Erigeron  flagellaris","Erigeron","flagellaris","","Erigeron flagellaris "
"Erigeron","Erigeron","","","Erigeron  "
"Gnaphalium  uliginosum","Gnaphalium","uliginosum","","Gnaphalium uliginosum "
"Sedum  lanceolatum","Sedum","lanceolatum","","Sedum lanceolatum "
"Castilleja  linariaefolia","Castilleja","linariaefolia","","Castilleja linariaefolia "
"Erysimum  asperum","Erysimum","asperum","","Erysimum asperum "
"Galium  boreale","Galium","boreale","","Galium boreale "
"Orobanche  fasciculata","Orobanche","fasciculata","","Orobanche fasciculata "
"Aconitum  columbianum","Aconitum","columbianum","","Aconitum columbianum "
"Agoseris  aurantiaca","Agoseris","aurantiaca","","Agoseris aurantiaca "
"Dodecatheon  pulchellum","Dodecatheon","pulchellum","","Dodecatheon pulchellum "
"Erigeron?","Erigeron?","","","Erigeron?  "
"Erigeron  coulteri","Erigeron","coulteri","","Erigeron coulteri "
"Haplopappus  parryi","Haplopappus","parryi","","Haplopappus parryi "
"Helenium  hoopsii","Helenium","hoopsii","","Helenium hoopsii "
"Mertensia  ciliata","Mertensia","ciliata","","Mertensia ciliata "
"Osmorhiza  occidentale","Osmorhiza","occidentale","","Osmorhiza occidentale "
"Potentilla  fruticosa","Potentilla","fruticosa","","Potentilla fruticosa "
"Zygadenus  elegans","Zygadenus","elegans","","Zygadenus elegans "
"Aquilegia  caerulea","Aquilegia","caerulea","","Aquilegia caerulea "
"Castilleja  sulphurea","Castilleja","sulphurea","","Castilleja sulphurea "
"Ligusticum  porteri","Ligusticum","porteri","","Ligusticum porteri "
"Pseudocymopterus  montanus","Pseudocymopterus","montanus","","Pseudocymopterus montanus "
"Arnica  cordifolia","Arnica","cordifolia","","Arnica cordifolia "
"Cardamine  cordifolia","Cardamine","cordifolia","","Cardamine cordifolia "
"Epilobium  saximontanum","Epilobium","saximontanum","","Epilobium saximontanum "
"Geranium  richardsonii","Geranium","richardsonii","","Geranium richardsonii "
"Listera  borealis","Listera","borealis","","Listera borealis "
"Listera  cordata","Listera","cordata","","Listera cordata "
"Mitella  pentandra","Mitella","pentandra","","Mitella pentandra "
"Oxypolis  fendleri","Oxypolis","fendleri","","Oxypolis fendleri "
"Pedicularis  bracteosa","Pedicularis","bracteosa","","Pedicularis bracteosa "
"Senecio  triangularis","Senecio","triangularis","","Senecio triangularis "
"Trollius  laxus","Trollius","laxus","","Trollius laxus "
"Angelica  grayi","Angelica","grayi","","Angelica grayi "
"Caltha  leptosepala","Caltha","leptosepala","","Caltha leptosepala "
"Pyrola  asarifolia","Pyrola","asarifolia","","Pyrola asarifolia "
"Streptopus  amplexifolius","Streptopus","amplexifolius","","Streptopus amplexifolius "
"Habenaria  obtusa","Habenaria","obtusa","","Habenaria obtusa "
"Parnassia  fimbriata","Parnassia","fimbriata","","Parnassia fimbriata "
"Saxifraga  arguta","Saxifraga","arguta","","Saxifraga arguta "
"Corallorhiza  trifida","Corallorhiza","trifida","","Corallorhiza trifida "
"Epilobium  hornemanii","Epilobium","hornemanii","","Epilobium hornemanii "
"Habenaria  saccata","Habenaria","saccata","","Habenaria saccata "
"Osmorhiza  obtusa","Osmorhiza","obtusa","","Osmorhiza obtusa "
"Astragalus  alpinus","Astragalus","alpinus","","Astragalus alpinus "
"Castilleja  miniata","Castilleja","miniata","","Castilleja miniata "
"Habenaria  hyperborea","Habenaria","hyperborea","","Habenaria hyperborea "
"Hedysarum  occidentale","Hedysarum","occidentale","","Hedysarum occidentale "
"Pedicularis  groenlandica","Pedicularis","groenlandica","","Pedicularis groenlandica "
"Prunella  vulgaris","Prunella","vulgaris","","Prunella vulgaris "
"Stellaria  longipes","Stellaria","longipes","","Stellaria longipes "
"Trifolium  longipes","Trifolium","longipes","","Trifolium longipes "
"Heracleum  lanatum","Heracleum","lanatum","","Heracleum lanatum "
"Smilacina  stellata","Smilacina","stellata","","Smilacina stellata "
"Fragaria","Fragaria","","","Fragaria  "
"Lonicera  involucrata","Lonicera","involucrata","","Lonicera involucrata "
"Arnica  chamissonis?","Arnica","chamissonis?","","Arnica chamissonis? "
"Pachystima  myrsinites","Pachystima","myrsinites","","Pachystima myrsinites "
"Allium  geyeri","Allium","geyeri","","Allium geyeri "
"Haplopappus  croceus","Haplopappus","croceus","","Haplopappus croceus "
"Lupinus  argenteus ?","Lupinus","argenteus","?","Lupinus argenteus ?"
"Sedum  rosea","Sedum","rosea","","Sedum rosea "
"Senecio  bigelovii","Senecio","bigelovii","","Senecio bigelovii "
"Thlaspi  alpestre","Thlaspi","alpestre","","Thlaspi alpestre "
"Valeriana  acutiloba","Valeriana","acutiloba","","Valeriana acutiloba "
"Epilobium  angustifolium","Epilobium","angustifolium","","Epilobium angustifolium "
"Erigeron  coulteri ?","Erigeron","coulteri","?","Erigeron coulteri ?"
"Gentiana  elegans","Gentiana","elegans","","Gentiana elegans "
"Mimulus  guttatus ?","Mimulus","guttatus","?","Mimulus guttatus ?"
"Swertia  perennis","Swertia","perennis","","Swertia perennis "
"Delphinium barbeyi","Delphinium","barbeyi","","Delphinium barbeyi "
"Descurainea richardsonii","Descurainea","richardsonii","","Descurainea richardsonii "
"Draba aurea","Draba","aurea","","Draba aurea "
"Erigeron elatior","Erigeron","elatior","","Erigeron elatior "
"Hydrophyllum fendleri","Hydrophyllum","fendleri","","Hydrophyllum fendleri "
"Ranunculus inamoenus","Ranunculus","inamoenus","","Ranunculus inamoenus "
"Thalictrum fendleri","Thalictrum","fendleri","","Thalictrum fendleri "
"Thlaspi montanum","Thlaspi","montanum","","Thlaspi montanum "
"Valeriana edulis","Valeriana","edulis","","Valeriana edulis "
"Veratrum californicum","Veratrum","californicum","","Veratrum californicum "
"Barbarea vulgaris ?","Barbarea","vulgaris","?","Barbarea vulgaris ?"
"Lupinus","Lupinus","","","Lupinus  "
"Carex","Carex","","","Carex  "
"Gentiana calycosa","Gentiana","calycosa","","Gentiana calycosa "
"Gentiana thermalis???","Gentiana","thermalis???","","Gentiana thermalis??? "
"Salix","Salix","","","Salix  "
"Gentiana heterosepala","Gentiana","heterosepala","","Gentiana heterosepala "
